نوع البطولة,الجولة,حالة المبارة,القناة,الفريق الاول,الفريق الثاني,الوقت,النتيجة
بطولة العالم لكرة اليد,كأس الرئيس- الجولة الثانية,انتهت,N/A,الجزائر,غينيا,16:30,32 - 23
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,تونس,التشيك,16:30,26 - 32
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,مقدونيا,قطر,16:30,39 - 34
بطولة العالم لكرة اليد,كأس الرئيس- الجولة الثانية,انتهت,N/A,بولندا,الكويت,19:00,42 - 32
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,إيطاليا,ألمانيا,19:00,27 - 34
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,هولندا,فرنسا,19:00,28 - 35
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,الدنمارك,سويسرا,21:30,39 - 28
بطولة العالم لكرة اليد,الجولة الثانية,انتهت,N/A,المجر,النمسا,21:30,29 - 26
الدوري المصري,الجولة التاسعة,انتهت,Ontime sports 2,بتروجيت,المصري,16:00,2 - 1
الدوري المصري,الجولة التاسعة,انتهت,Ontime sports 1,مودرن سبورت,الزمالك,19:00,1 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,N/A,جليمت,مكابى تل ابيب,19:45,3 - 1
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 3 HD,فنربخشة,ليون,19:45,0 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 2 HD,الكمار,روما,19:45,1 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 1HD,هوفنهايم,توتنهام هوتسبر,19:45,2 - 3
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 5 HD,مالمو,تفينتي انشخيده,19:45,2 - 3
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 4 HD,بورتو,أوليمبياكوس,19:45,0 - 1
الدوري الأوروبي,الجولة السابعة,انتهت,N/A,كاراباج اجدام,ستيوا بوخارست,19:45,2 - 3
الدوري الأوروبي,الجولة السابعة,انتهت,N/A,فيكتوريا بلزن,أندرلخت,19:45,2 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 6 HD,سان جيلواز,سبورتينج براجا,22:00,2 - 1
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 4 HD,الفسبورج,نيس,22:00,1 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 2 HD,آ. فرانكفورت,فيرينكفاروسي,22:00,2 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,N/A,باوك سالونيكا,سلافيا براج,22:00,2 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 5 HD,نادي آر إف إس,أياكس امستردام,22:00,1 - 0
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 1HD,مانشستر يونايتد,جلاسكو رينجرز,22:00,2 - 1
الدوري الأوروبي,الجولة السابعة,انتهت,بى ان سبورت 3 HD,لاتسيو,ريال سوسيداد,22:00,3 - 1
الدوري الأوروبي,الجولة السابعة,انتهت,N/A,لودوجوريتس,ميتييلاند,22:00,0 - 2
دوري نجوم قطر,الأسبوع الثالث عشر,انتهت,بى ان سبورت 1HD,السد القطري,نادي قطر,15:30,0 - 1
دوري نجوم قطر,الأسبوع الثالث عشر,انتهت,بى ان سبورت 6 HD,الريان,الدحيل,17:45,0 - 0
الدوري المغربي,الأسبوع السابع عشر,انتهت,N/A,النادي المكناسي,الجيش الملكي,17:00,2 - 2
الدوري المغربي,الأسبوع السابع عشر,انتهت,N/A,الرجاء البيضاوي,اتحاد طنجة,19:00,1 - 1
الدوري المغربي,الأسبوع السابع عشر,انتهت,N/A,نهضة بركان,أولمبيك آسفي,21:00,2 - 2
الدوري الإماراتي,الأسبوع الثالث عشر,انتهت,N/A,العروبة,دبا الحصن,15:05,1 - 2
الدوري الإماراتي,الأسبوع الثالث عشر,انتهت,N/A,الوحـــدة,البطائح,18:00,0 - 2
